
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	raw value	ON	XB7-547-204	3	ON External	20.000	ON	1013	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	raw value	ON	XB7-547-206	3	ON External	20.000	ON	1013	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.605	22.041	1029	100.000	20.950	54.777	20.654	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.053	22.177	1019	100.000	20.950	54.735	20.928	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	5	
Date:	29.05.2017	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
29.05.2017	15:51:41	0.00		0.0092464	---	---	---	24.920	24.920	---	---	1010.12	52.937	24.920	23.787	---	54.679	177.488	---	---	756.912	1.054	---	---	4.498	24.329	---	---	
29.05.2017	15:51:51	10.00		0.010871	---	---	---	24.891	24.891	---	---	1010.04	52.937	24.891	23.810	---	54.671	105.767	---	---	756.715	1.053	---	---	4.764	25.215	---	---	
29.05.2017	15:52:01	20.00		0.010415	---	---	---	24.860	24.860	---	---	1010.04	52.906	24.860	23.828	---	54.673	106.693	---	---	756.487	1.038	---	---	3.990	24.780	---	---	
29.05.2017	15:52:11	30.00		0.010357	---	---	---	24.836	24.836	---	---	1009.98	52.883	24.836	23.847	---	54.674	106.796	---	---	756.352	1.033	---	---	4.476	24.638	---	---	
29.05.2017	15:52:21	40.00		0.010257	---	---	---	24.815	24.815	---	---	1010.00	52.937	24.815	23.864	---	54.675	35.642	---	---	756.155	1.042	---	---	4.775	24.516	---	---	
29.05.2017	15:52:31	50.00		0.010871	---	---	---	24.802	24.802	---	---	1010.00	52.865	24.802	23.878	---	54.672	106.488	---	---	755.998	1.021	---	---	4.373	25.279	---	---	
29.05.2017	15:52:41	60.00		0.011247	---	---	---	24.786	24.786	---	---	1010.08	52.743	24.786	23.892	---	54.670	-36.162	---	---	755.860	1.040	---	---	4.456	25.182	---	---	
29.05.2017	15:52:51	70.00		0.011307	---	---	---	24.779	24.779	---	---	1009.99	52.714	24.779	23.907	---	54.670	34.664	---	---	755.731	1.013	---	---	4.617	23.766	---	---	
29.05.2017	15:53:01	80.00		0.011881	---	---	---	24.778	24.778	---	---	1010.05	52.746	24.778	23.920	---	54.667	35.008	---	---	755.556	1.000	---	---	4.965	24.215	---	---	
29.05.2017	15:53:11	90.00		0.011148	---	---	---	24.754	24.754	---	---	1010.08	52.645	24.754	23.931	---	54.671	177.392	---	---	755.403	1.038	---	---	4.103	24.263	---	---	
29.05.2017	15:53:21	100.00		0.011425	---	---	---	24.750	24.750	---	---	1010.08	52.616	24.750	23.944	---	54.670	107.358	---	---	755.310	1.038	---	---	4.532	24.678	---	---	
29.05.2017	15:53:31	110.00		0.011188	---	---	---	24.750	24.750	---	---	1010.05	52.592	24.750	23.959	---	54.671	106.698	---	---	755.178	1.035	---	---	3.977	24.851	---	---	
29.05.2017	15:53:41	120.00		0.011722	---	---	---	24.727	24.727	---	---	1010.05	52.592	24.727	23.974	---	54.669	34.330	---	---	755.056	1.078	---	---	4.861	23.141	---	---	
29.05.2017	15:53:51	130.00		0.012336	---	---	---	24.722	24.722	---	---	1010.06	52.870	24.722	23.982	---	54.666	178.741	---	---	754.927	1.064	---	---	4.067	22.338	---	---	
29.05.2017	15:54:01	140.00		0.011128	---	---	---	24.719	24.719	---	---	1010.06	52.792	24.719	23.995	---	54.672	178.013	---	---	754.753	1.045	---	---	5.080	22.653	---	---	
29.05.2017	15:54:11	150.00		0.011543	---	---	---	24.708	24.708	---	---	1010.10	52.706	24.708	24.001	---	54.670	106.182	---	---	754.614	1.050	---	---	4.684	22.315	---	---	
